Product_Name,Brand_Name,Price_,Rating_,Number_of_Buyers,Total_Sold,Available_Stock,Main_Category,Sub_Category,Discount_,Seller,Return_Policy
krishnamurthy-devan laboriosam ultra smartphones 10,krishnamurthy-devan laboriosam,142247.04,3.2,7348,4812,364,electronics,smartphones,45,retailnet,False
nanda-mahal dignissimos lite laptops 1,nanda-mahal dignissimos,186922.43,4.1,2342,881,145,electronics,laptops,55,flipkart assured,False
borah llc accusantium lite smartphones 9,borah llc,10864.31,4.8,1543,4562,1585,electronics,smartphones,0,electroworld,False
murty inc placeat pro smartwatches 8,murty inc,32950.41,4.5,7702,4925,1064,electronics,smartwatches,18,mobilehub,False
verma-pillai ipsa pro refrigerators 15,verma-pillai ipsa,26497.18,4.4,7892,6175,1526,appliances,refrigerators,0,homecare solutions,False
aggarwal group dignissimos lite acs 6,aggarwal group,40548.35,3.1,5593,8899,2291,appliances,acs,52,electroworld,False
krishna-tandon quo ultra lighting 12,krishna-tandon quo,38045.07,4.9,2140,3857,233,home,lighting,32,flipkart assured,False
cheema and sons distinctio pro decor 1,cheema and,9370.93,3.8,5554,127,23,home,decor,0,cloudtail india,False
"bassi, bail and purohit a lite acs 15","bassi, bail",46222.19,4.6,8211,8465,765,appliances,acs,37,mobilehub,False
hans-naik quis ultra smartphones 2,hans-naik quis,106831.63,4.5,2857,5770,2578,electronics,smartphones,40,flipkart assured,False
sura llc aperiam plus kitchenware 2,sura llc,6793.37,3.3,1712,2927,1037,home,kitchenware,45,homecare solutions,False
"swaminathan, kadakia and narula alias plus kitchenware 2","swaminathan, kadakia",49169.05,3.7,8188,3672,796,home,kitchenware,0,fashionplus,False
"mutti, khosla and balan repellat lite shoes 8","mutti, khosla",26715.52,4.0,323,9154,3285,fashion,shoes,33,electroworld,False
bath plc fuga lite shoes 13,bath plc,7918.38,4.5,9290,1005,393,fashion,shoes,0,retailnet,False
parikh group nemo ultra lighting 4,parikh group,19701.1,4.8,7491,8608,2998,home,lighting,5,cloudtail india,False
sama-chaudry nulla plus t-shirts 2,sama-chaudry nulla,1838.69,3.6,8331,5868,2458,fashion,t-shirts,0,homecare solutions,False
sathe-thakkar velit ultra kitchenware 14,sathe-thakkar velit,12927.45,3.4,9266,1828,55,home,kitchenware,30,electroworld,False
sandhu ltd et ultra jeans 1,sandhu ltd,23603.85,4.5,2221,3262,47,fashion,jeans,14,electroworld,False
"bedi, gupta and mukherjee animi lite lighting 2","bedi, gupta",30491.38,4.9,5974,511,218,home,lighting,0,flipkart assured,False
gopal and sons atque pro kitchenware 5,gopal and,20669.42,3.8,7107,9524,2565,home,kitchenware,43,mobilehub,False
"nanda, choudhary and reddy accusantium pro kitchenware 11","nanda, choudhary",3430.15,3.8,7513,5329,1844,home,kitchenware,68,supercomnet,False
"toor, rastogi and edwin voluptatibus pro acs 3","toor, rastogi",35055.07,3.0,1947,1720,396,appliances,acs,37,flipkart assured,False
malhotra and sons aspernatur plus shoes 14,malhotra and,27302.79,4.3,1745,7299,2490,fashion,shoes,27,homecare solutions,False
sachdeva-varma optio ultra acs 12,sachdeva-varma optio,22152.62,3.5,7693,189,17,appliances,acs,56,cloudtail india,False
deep-sawhney aut ultra microwaves 5,deep-sawhney aut,21298.01,4.1,5761,1213,481,appliances,microwaves,47,cloudtail india,False
dhar llc quidem pro decor 3,dhar llc,17317.63,4.7,6148,7796,1174,home,decor,24,cloudtail india,False
andra llc veritatis lite headphones 8,andra llc,28385.37,3.6,71,520,128,electronics,headphones,21,retailnet,False
sani inc dolores ultra decor 14,sani inc,8239.3,4.3,2538,4000,1323,home,decor,8,fashionplus,False
chawla-krish reprehenderit ultra smartwatches 3,chawla-krish reprehenderit,3176.94,3.3,3856,1258,558,electronics,smartwatches,42,homecare solutions,False
tandon-ramaswamy numquam pro t-shirts 1,tandon-ramaswamy numquam,1093.56,4.2,5902,480,140,fashion,t-shirts,40,retailnet,False
arya group officiis lite lighting 6,arya group,43575.46,3.3,9505,5894,983,home,lighting,10,retailnet,False
garg-dayal fugit pro jeans 12,garg-dayal fugit,19115.44,4.7,7337,7207,2863,fashion,jeans,25,homecare solutions,False
khurana-ram placeat lite headphones 3,khurana-ram placeat,25892.56,4.2,59,5010,1946,electronics,headphones,17,retailnet,False
karan group aliquid ultra furniture 12,karan group,43491.73,4.0,5097,8020,1546,home,furniture,0,electroworld,False
yadav llc at plus t-shirts 13,yadav llc,698.28,4.4,588,3165,227,fashion,t-shirts,51,electroworld,False
padmanabhan inc totam ultra microwaves 14,padmanabhan inc,2551.73,3.3,9629,6366,1225,appliances,microwaves,62,retailnet,False
chander-brar modi pro laptops 11,chander-brar modi,97891.22,4.4,9024,8779,1281,electronics,laptops,0,mobilehub,False
"krishna, narain and chakrabarti fugiat pro dresses 14","krishna, narain",39797.75,4.9,7748,1373,312,fashion,dresses,29,cloudtail india,False
kanda-lall blanditiis ultra kitchenware 13,kanda-lall blanditiis,48052.84,4.5,7121,3571,1402,home,kitchenware,49,flipkart assured,False
"kaul, lala and thaker quidem ultra laptops 15","kaul, lala",128141.64,4.8,7348,6020,1167,electronics,laptops,37,cloudtail india,False
rana and sons voluptates pro washing machines 10,rana and,22022.46,3.5,1590,1177,311,appliances,washing machines,9,mobilehub,False
"kapoor, kalita and prasad natus lite headphones 7","kapoor, kalita",29122.01,4.3,234,4439,387,electronics,headphones,38,cloudtail india,False
biswas inc in pro smartphones 3,biswas inc,12594.15,3.4,3330,4732,1528,electronics,smartphones,40,homecare solutions,False
keer-chaudry ipsum plus refrigerators 4,keer-chaudry ipsum,72122.62,4.2,6466,5220,1932,appliances,refrigerators,68,fashionplus,False
chandra and sons quam pro smartwatches 15,chandra and,37919.23,3.9,4819,631,266,electronics,smartwatches,0,homecare solutions,False
more-dora laboriosam ultra smartwatches 6,more-dora laboriosam,39853.55,3.8,3497,8357,436,electronics,smartwatches,6,mobilehub,False
ramesh plc doloribus ultra laptops 12,ramesh plc,46584.75,4.5,3132,1461,605,electronics,laptops,43,electroworld,False
uppal-madan at plus smartphones 14,uppal-madan at,89051.73,3.5,4260,750,198,electronics,smartphones,0,flipkart assured,False
edwin-dar praesentium plus lighting 6,edwin-dar praesentium,38740.34,4.4,6434,3841,1863,home,lighting,8,retailnet,False
bandi plc nobis ultra headphones 8,bandi plc,48760.25,3.9,1533,1194,383,electronics,headphones,20,homecare solutions,False
"amble, sinha and rout ex ultra smartwatches 8","amble, sinha",36379.0,3.7,8978,8513,389,electronics,smartwatches,0,supercomnet,False
sheth plc quas ultra laptops 13,sheth plc,57932.29,3.2,4146,5810,865,electronics,laptops,61,fashionplus,False
"more, korpal and master nemo plus headphones 2","more, korpal",41316.66,3.4,2825,4204,1524,electronics,headphones,0,supercomnet,False
contractor llc possimus lite refrigerators 4,contractor llc,47177.04,4.7,163,8344,892,appliances,refrigerators,11,retailnet,False
grewal inc animi plus washing machines 8,grewal inc,27018.08,3.4,7491,2524,432,appliances,washing machines,16,homecare solutions,False
venkataraman inc quo plus refrigerators 7,venkataraman inc,50875.99,3.9,3154,8663,542,appliances,refrigerators,0,fashionplus,False
