Product Name,Categorize Product,Brand Name,Price (?),Discounted Price,Rating (?),Number of Buyers,Total Sold,Available Stock,Main Category,Sub Category,Discount (%),Seller,Return Policy
Chanda Inc Incidunt Lite Microwaves 13,Other,Chanda Inc,249158.91 ,204310.31 ,4.80 ,6361,2245,372,Appliances,Microwaves,18,SuperComNet,FALSE
"Randhawa, Johal and Chaudhry Perferendis Plus Furniture 15",Other,"Randhawa, Johal",248791.49 ,248791.49 ,4.70 ,7267,3955,1368,Home,Furniture,0,Flipkart Assured,FALSE
"Venkatesh, Chahal and Ganesan Nemo Lite ACs 13",Other,"Venkatesh, Chahal",248199.13 ,183667.36 ,3.10 ,1615,7889,1715,Appliances,ACs,26,FashionPlus,FALSE
"Som, Baral and Halder Itaque Ultra Dresses 7",Other,"Som, Baral",247883.25 ,114026.30 ,3.80 ,9160,2046,38,Fashion,Dresses,54,RetailNet,TRUE
Upadhyay LLC Repudiandae Lite Headphones 9,Phone,Upadhyay LLC,246856.75 ,246856.75 ,3.00 ,7456,6946,254,Electronics,Headphones,0,ElectroWorld,FALSE
"Mander, Lal and Bahl Provident Ultra Dresses 9",Other,"Mander, Lal",245946.54 ,213973.49 ,3.20 ,2077,566,162,Fashion,Dresses,13,Cloudtail India,TRUE
"Dhawan, Wadhwa and Manne Architecto Ultra Decor 8",Other,"Dhawan, Wadhwa",245563.79 ,112959.34 ,4.80 ,2297,7987,2073,Home,Decor,54,FashionPlus,FALSE
Bhatia Inc Autem Lite Kitchenware 1,Other,Bhatia Inc,245079.60 ,227924.03 ,4.30 ,9813,4531,1432,Home,Kitchenware,7,RetailNet,FALSE
Chowdhury-Soman Est Pro T-Shirts 3,Other,Chowdhury-Soman Est,245049.44 ,186237.57 ,4.40 ,2828,3548,1241,Fashion,T-Shirts,24,ElectroWorld,FALSE
Andra PLC Aliquam Pro T-Shirts 13,Other,Andra PLC,243923.77 ,243923.77 ,3.60 ,9864,875,328,Fashion,T-Shirts,0,SuperComNet,FALSE
Sarma LLC Repellat Ultra T-Shirts 3,Other,Sarma LLC,242526.14 ,242526.14 ,3.50 ,2689,8714,3934,Fashion,T-Shirts,0,ElectroWorld,TRUE
Warrior Group Esse Pro T-Shirts 2,Other,Warrior Group,242412.15 ,138174.93 ,4.90 ,3594,7143,2996,Fashion,T-Shirts,43,RetailNet,FALSE
Borde Group Accusamus Pro T-Shirts 12,Other,Borde Group,241734.15 ,241734.15 ,4.10 ,9012,3499,1392,Fashion,T-Shirts,0,Cloudtail India,TRUE
Wali and Sons Consequuntur Lite T-Shirts 5,Other,Wali and,240658.33 ,170867.41 ,3.90 ,2392,6811,1728,Fashion,T-Shirts,29,MobileHub,TRUE
"Sampath, Datta and Karan Illum Lite Headphones 8",Phone,"Sampath, Datta",240057.68 ,72017.30 ,4.80 ,736,5026,1378,Electronics,Headphones,70,HomeCare Solutions,TRUE
Sastry-Narasimhan Soluta Ultra T-Shirts 15,Other,Sastry-Narasimhan Soluta,239627.69 ,184513.32 ,4.60 ,9862,6901,2953,Fashion,T-Shirts,23,Cloudtail India,TRUE
"Sarin, Sangha and Sandal Vero Ultra T-Shirts 6",Other,"Sarin, Sangha",239436.92 ,191549.54 ,4.10 ,697,8633,2959,Fashion,T-Shirts,20,Flipkart Assured,FALSE
Anand PLC Repellat Plus Kitchenware 6,Other,Anand PLC,239405.72 ,227435.43 ,5.00 ,4508,8901,424,Home,Kitchenware,5,MobileHub,TRUE
Divan-Som Nulla Pro T-Shirts 5,Other,Divan-Som Nulla,238715.09 ,83550.28 ,4.10 ,2929,5053,207,Fashion,T-Shirts,65,Flipkart Assured,FALSE
Butala-Kari Eos Ultra Kitchenware 9,Other,Butala-Kari Eos,238107.90 ,164294.45 ,4.90 ,5522,6707,633,Home,Kitchenware,31,ElectroWorld,FALSE
"Narula, Ahuja and Contractor Id Pro T-Shirts 6",Other,"Narula, Ahuja",237833.91 ,152213.70 ,4.60 ,8126,8364,872,Fashion,T-Shirts,36,SuperComNet,FALSE
Bawa-Mishra At Lite T-Shirts 8,Other,Bawa-Mishra At,237695.66 ,144994.35 ,3.70 ,5921,1154,508,Fashion,T-Shirts,39,FashionPlus,FALSE
"Chander, Dar and Bains Quo Plus Furniture 13",Other,"Chander, Dar",237438.16 ,111595.94 ,3.90 ,1956,6151,1323,Home,Furniture,53,SuperComNet,FALSE
Srivastava Ltd Aperiam Pro T-Shirts 12,Other,Srivastava Ltd,237177.35 ,154165.28 ,3.90 ,4722,4707,378,Fashion,T-Shirts,35,ElectroWorld,TRUE
Jha and Sons Illo Pro T-Shirts 8,Other,Jha and,236430.94 ,236430.94 ,3.50 ,3477,7873,1247,Fashion,T-Shirts,0,Cloudtail India,FALSE
Edwin and Sons Vel Ultra T-Shirts 7,Other,Edwin and,236228.60 ,172446.88 ,4.90 ,7190,3011,798,Fashion,T-Shirts,27,Cloudtail India,TRUE
Uppal Ltd Culpa Ultra Decor 12,Other,Uppal Ltd,236207.29 ,70862.19 ,4.80 ,3146,6970,3139,Home,Decor,70,ElectroWorld,TRUE
"Yohannan, Deep and Tailor Dignissimos Ultra T-Shirts 7",Other,"Yohannan, Deep",236010.65 ,115645.22 ,4.10 ,877,82,4,Fashion,T-Shirts,51,MobileHub,TRUE
"Chokshi, Misra and Bedi Debitis Pro Headphones 2",Phone,"Chokshi, Misra",235500.26 ,155430.17 ,3.10 ,9052,9020,3069,Electronics,Headphones,34,Flipkart Assured,FALSE
Parmar LLC Sed Pro Washing Machines 5,Other,Parmar LLC,234658.48 ,192419.95 ,3.30 ,7364,3025,251,Appliances,Washing Machines,18,RetailNet,TRUE
Agarwal PLC Accusantium Pro T-Shirts 9,Other,Agarwal PLC,233644.70 ,233644.70 ,4.80 ,735,8696,4137,Fashion,T-Shirts,0,SuperComNet,FALSE
"Wason, Roy and Gade Eius Pro T-Shirts 5",Other,"Wason, Roy",232898.72 ,232898.72 ,5.00 ,5781,2766,495,Fashion,T-Shirts,0,MobileHub,TRUE
"Nayak, Dixit and Mohanty Ipsam Ultra T-Shirts 9",Other,"Nayak, Dixit",232132.23 ,81246.28 ,3.40 ,7169,7132,1618,Fashion,T-Shirts,65,MobileHub,TRUE
"Bhat, Varghese and Wagle Magni Plus T-Shirts 10",Other,"Bhat, Varghese",231614.69 ,231614.69 ,3.30 ,8248,5634,2689,Fashion,T-Shirts,0,ElectroWorld,FALSE
Basu-Saran Libero Plus T-Shirts 7,Other,Basu-Saran Libero,231460.06 ,180538.85 ,4.30 ,481,8117,2430,Fashion,T-Shirts,22,RetailNet,TRUE
"Kunda, Dewan and Mandal Modi Lite T-Shirts 5",Other,"Kunda, Dewan",231329.02 ,231329.02 ,3.70 ,1927,4782,1943,Fashion,T-Shirts,0,HomeCare Solutions,TRUE
"Srinivas, Bali and Cherian Perspiciatis Pro T-Shirts 6",Other,"Srinivas, Bali",230440.02 ,149786.01 ,3.60 ,2124,8752,659,Fashion,T-Shirts,35,SuperComNet,TRUE
"Acharya, Basu and Deshpande Tenetur Lite T-Shirts 9",Other,"Acharya, Basu",230163.11 ,82858.72 ,3.40 ,5620,9210,705,Fashion,T-Shirts,64,HomeCare Solutions,TRUE
Merchant PLC Sequi Plus Kitchenware 14,Other,Merchant PLC,229608.24 ,229608.24 ,3.50 ,5447,3400,357,Home,Kitchenware,0,HomeCare Solutions,TRUE
Panchal Ltd Eos Plus T-Shirts 8,Other,Panchal Ltd,229133.15 ,229133.15 ,4.30 ,2545,2595,573,Fashion,T-Shirts,0,FashionPlus,TRUE
Behl-Tandon Est Pro T-Shirts 2,Other,Behl-Tandon Est,228339.09 ,228339.09 ,4.40 ,9527,1248,314,Fashion,T-Shirts,0,ElectroWorld,TRUE
"Bandi, Kothari and Chaudry Sint Lite Microwaves 8",Other,"Bandi, Kothari",227965.23 ,107143.66 ,3.90 ,4239,6310,3142,Appliances,Microwaves,53,SuperComNet,FALSE
Chadha and Sons Omnis Lite Furniture 10,Other,Chadha and,226769.05 ,74833.79 ,4.40 ,6059,9207,3100,Home,Furniture,67,ElectroWorld,FALSE
Upadhyay-Ranganathan At Ultra T-Shirts 2,Other,Upadhyay-Ranganathan At,226697.34 ,226697.34 ,4.20 ,5780,5969,1442,Fashion,T-Shirts,0,ElectroWorld,TRUE
Sekhon-Pandit Ea Ultra T-Shirts 15,Other,Sekhon-Pandit Ea,225374.28 ,135224.57 ,4.00 ,7783,6331,2403,Fashion,T-Shirts,40,RetailNet,FALSE
Lall-Balay Reprehenderit Plus T-Shirts 5,Other,Lall-Balay Reprehenderit,224857.02 ,224857.02 ,3.20 ,3624,5039,552,Fashion,T-Shirts,0,FashionPlus,TRUE
Oza Inc Quo Lite T-Shirts 7,Other,Oza Inc,223136.40 ,66940.92 ,4.60 ,6554,2640,716,Fashion,T-Shirts,70,FashionPlus,TRUE
Wadhwa-Swaminathan Amet Lite T-Shirts 2,Other,Wadhwa-Swaminathan Amet,223017.91 ,142731.46 ,4.90 ,3549,9613,2929,Fashion,T-Shirts,36,FashionPlus,FALSE
Acharya-Mody Eveniet Ultra Shoes 5,Other,Acharya-Mody Eveniet,222481.27 ,84542.88 ,4.60 ,5606,8189,3474,Fashion,Shoes,62,Cloudtail India,TRUE
Varghese-Sem Quasi Pro T-Shirts 5,Other,Varghese-Sem Quasi,221856.87 ,181922.63 ,3.30 ,2239,339,131,Fashion,T-Shirts,18,ElectroWorld,FALSE
Nagi-Bava Possimus Pro T-Shirts 8,Other,Nagi-Bava Possimus,221492.81 ,179409.18 ,4.90 ,9234,5677,157,Fashion,T-Shirts,19,ElectroWorld,FALSE
"Bora, Bali and Pandey Officiis Lite T-Shirts 9",Other,"Bora, Bali",220924.20 ,145809.97 ,4.30 ,8624,6642,1876,Fashion,T-Shirts,34,ElectroWorld,FALSE
Bhavsar-Warrior Temporibus Pro ACs 7,Other,Bhavsar-Warrior Temporibus,220864.96 ,198778.46 ,4.20 ,8126,4917,440,Appliances,ACs,10,ElectroWorld,FALSE
"Jayaraman, Viswanathan and Mannan Doloribus Plus T-Shirts 4",Other,"Jayaraman, Viswanathan",220277.61 ,138774.89 ,3.60 ,1933,5478,2199,Fashion,T-Shirts,37,ElectroWorld,TRUE
Narayan-Mandal Ea Ultra T-Shirts 15,Other,Narayan-Mandal Ea,220079.35 ,220079.35 ,3.50 ,6130,4293,1194,Fashion,T-Shirts,0,Flipkart Assured,TRUE
Shere PLC Voluptate Plus Shoes 7,Other,Shere PLC,219348.85 ,201800.94 ,4.60 ,3745,1386,288,Fashion,Shoes,8,HomeCare Solutions,TRUE
"Shere, Samra and Chatterjee Possimus Ultra Microwaves 12",Other,"Shere, Samra",219316.24 ,142555.56 ,4.60 ,3599,2266,285,Appliances,Microwaves,35,FashionPlus,TRUE
Kaul PLC Quasi Pro T-Shirts 4,Other,Kaul PLC,217673.41 ,217673.41 ,3.10 ,8294,2886,704,Fashion,T-Shirts,0,ElectroWorld,FALSE
Dhingra PLC Provident Ultra T-Shirts 11,Other,Dhingra PLC,216486.92 ,175354.41 ,4.30 ,7420,9968,2669,Fashion,T-Shirts,19,Flipkart Assured,FALSE
Jha Ltd Cumque Lite T-Shirts 8,Other,Jha Ltd,216202.49 ,97291.12 ,4.00 ,4847,1526,640,Fashion,T-Shirts,55,HomeCare Solutions,FALSE
Shukla-Wali Necessitatibus Lite T-Shirts 13,Other,Shukla-Wali Necessitatibus,216157.54 ,118886.65 ,3.10 ,5942,9036,1950,Fashion,T-Shirts,45,SuperComNet,TRUE
"Chauhan, Chakrabarti and Patil Nemo Ultra Headphones 4",Phone,"Chauhan, Chakrabarti",215552.31 ,215552.31 ,3.20 ,6109,6659,2532,Electronics,Headphones,0,SuperComNet,FALSE
Jhaveri-Dass Officiis Plus T-Shirts 1,Other,Jhaveri-Dass Officiis,215098.84 ,167777.10 ,4.80 ,1082,3676,1250,Fashion,T-Shirts,22,MobileHub,FALSE
"Master, Loke and Aurora Accusantium Ultra T-Shirts 1",Other,"Master, Loke",214619.60 ,214619.60 ,4.00 ,6251,4265,1104,Fashion,T-Shirts,0,FashionPlus,TRUE
"Raval, Vora and Baria Distinctio Lite Smartwatches 2",Smartwatch,"Raval, Vora",214406.33 ,214406.33 ,3.60 ,1259,7020,2346,Electronics,Smartwatches,0,SuperComNet,FALSE
Reddy-Mistry Ducimus Lite T-Shirts 2,Other,Reddy-Mistry Ducimus,212738.46 ,125515.69 ,4.00 ,4169,5687,1335,Fashion,T-Shirts,41,ElectroWorld,TRUE
Sura-Bera Ea Pro T-Shirts 11,Other,Sura-Bera Ea,212211.87 ,103983.82 ,4.70 ,5367,1850,120,Fashion,T-Shirts,51,FashionPlus,TRUE
Kadakia-Agrawal Necessitatibus Pro Dresses 8,Other,Kadakia-Agrawal Necessitatibus,211788.11 ,120719.22 ,4.60 ,750,5429,307,Fashion,Dresses,43,Cloudtail India,FALSE
Date-Garde Veritatis Lite Decor 9,Other,Date-Garde Veritatis,210973.46 ,101267.26 ,4.10 ,2366,2261,685,Home,Decor,52,HomeCare Solutions,TRUE
Sathe LLC Beatae Pro T-Shirts 1,Other,Sathe LLC,210531.20 ,193688.70 ,4.50 ,646,1622,759,Fashion,T-Shirts,8,FashionPlus,FALSE
Murty-Dugar Repellendus Pro Kitchenware 7,Other,Murty-Dugar Repellendus,210433.77 ,86277.85 ,3.70 ,3231,5537,2354,Home,Kitchenware,59,HomeCare Solutions,FALSE
Virk-Srinivasan Natus Ultra Decor 10,Other,Virk-Srinivasan Natus,209181.02 ,154793.95 ,3.80 ,70,1649,221,Home,Decor,26,SuperComNet,FALSE
"Shanker, Gera and Sodhi Itaque Plus T-Shirts 14",Other,"Shanker, Gera",207803.64 ,155852.73 ,4.80 ,2229,9996,1752,Fashion,T-Shirts,25,MobileHub,TRUE
"Devi, Agarwal and Naik Corporis Lite T-Shirts 3",Other,"Devi, Agarwal",207097.24 ,122187.37 ,4.90 ,252,9471,2467,Fashion,T-Shirts,41,ElectroWorld,FALSE
Mangal-Chaudhuri Deserunt Pro T-Shirts 14,Other,Mangal-Chaudhuri Deserunt,205650.94 ,61695.28 ,3.50 ,171,9805,2056,Fashion,T-Shirts,70,MobileHub,TRUE
Batra LLC Nam Pro T-Shirts 14,Other,Batra LLC,205636.19 ,148058.06 ,4.10 ,3978,7587,2116,Fashion,T-Shirts,28,SuperComNet,FALSE
Chatterjee-Mangat Numquam Pro T-Shirts 15,Other,Chatterjee-Mangat Numquam,204456.73 ,204456.73 ,3.10 ,775,6576,2405,Fashion,T-Shirts,0,HomeCare Solutions,FALSE
"Borde, Bhatnagar and Yohannan Est Lite T-Shirts 5",Other,"Borde, Bhatnagar",204192.94 ,112306.12 ,3.00 ,7359,3558,1371,Fashion,T-Shirts,45,Flipkart Assured,FALSE
"Sharma, Sagar and Minhas Itaque Lite Smartwatches 8",Smartwatch,"Sharma, Sagar",204137.11 ,204137.11 ,4.10 ,8459,8667,2233,Electronics,Smartwatches,0,ElectroWorld,TRUE
